prodi_id,nama_prodi,jenjang
530,Pendidikan Komputer,S1
531,Agrobisnis,S1
532,Manajemen Sumberdaya Perairan,S1
533,Pendidikan Guru Madrasah Ibtidaiyah (PGMI),S1
534,Pendidikan Bimbingan Dan Konseling,S1
535,Hukum Keluarga Islam (Ahwal Al Syakhshiyah),S1
536,Hukum Keluarga (Ahwal Al-syakhshiyah),S1
537,Tafsir Hadits,S1
538,FARMASI,D3
539,Bahasa Korea,S1
540,Pendidikan Teknik Mesin,S1
541,Admnistrasi Publik,S1
542,Pendidikan Vokasional Konstruksi Bangunan,S1
543,Pendidikan Kesejahteraan Keluarga,S1
544,Usaha Jasa Pariwisata,D3
545,Ilmu Agama Islam,S1
546,Transportasi,D3
547,Pendidikan Teknik Elektronika,S1
548,Tata Rias,D3
549,Tata Busana,D3
550,Pendidikan Administrasi Perkantoran,S1
551,Kepelatihan Kecabangan Olahraga,S1
552,Olahraga Rekreasi,S1
553,Tata Boga,D3
554,Pendidikan Teknik Bangunan,S1
555,Pendidikan Tata Boga,S1
556,Pendidikan Tata Busana,S1
557,Pendidikan Bisnis,S1
558,Pendidikan Tata Rias,S1
559,Pendidikan Bahasa Dan Sastra Daerah,S1
560,Pendidikan Teknik Otomotif,S1
561,Teknik Sipil Bangunan Gedung,D3
562,Pendidikan Teknologi Pertanian,S1
563,Pendidikan Antropologi,S1
564,Pendidikan Vokasional Mekatronika,S1
565,Pendidikan Teknik Informatika,S1
566,Pendidikan Seni Tari Dan Musik,S1
567,Game Animasi,D3
568,Pendidikan Tata Niaga,S1
569,Pendidikan Khusus,S1
570,Akutansi,S1
571,Pendidikan Teknologi Informasi Dan Komunikasi,S1
572,Statistika Terapan Dan Komputasi,D3
573,Desain Komunikasi Visual,D3
574,Pendidikan Sosiologi Dan Antropologi,S1
575,Pendidikan Ipa,S1
576,Pendidikan Tata Kecantikan,S1
577,Seni Rupa,S1
578,Pendidikan Jasmani Sekolah Dasar,S1
579,Pendidikan Sains,S1
580,Administrasi Negara,D3
581,Pendidikan Seni Kerajinan,S1
582,Pendidikan Guru Sekolah Dasar Pendidikan Jasmani,S1
583,Pendidikan Teknik Sipil DanPerencanaan,S1
584,Kebijakan Pendidikan,S1
585,Pendidikan Seni Musik,S1
586,Tata Rias Dan Kecantikan,D3
587,Pendidikan Teknik Mekatronika,S1
588,Teknik Manufaktur,S1
589,Pendidikan Seni Tari,S1
590,Manajemen Hutan,S1
591,Kedokteran Hewan,S1
592,Agroteknologi/Agroekoteknologi,S1
593,Manajemen Sumberdaya Pesisir,S1
594,Manajemen Komunikasi,S1
595,Sastra Sunda,S1
596,Perikanan K Pangandaran,S1
597,Administrasi Bisnis K. Pangandaran,S1
598,Peternakan K. Pangandaran,S1
599,Ilmu Komunikasi K. Pangandaran,S1
600,Manajemen Keuangan Dan Perbankan,D3
601,Manajemen Perpajakan,D3
602,Teknik Kimia,D3
603,Teknik Lingkungan,D3
604,Administrasi Niaga,D3
605,Falsafah Dan Agama,S1
606,Teknologi Batik,D3
607,Pendidikan Bahasa Bali,S1
608,Survey Dan Pemetaan,D3
609,Pendidikan Vokasional Seni Kuliner,S1
610,Budidaya Kelautan,D3
611,Perpustakaan Dan Informasi,S1
612,Pendidikan Guru Sekolah Dasar (Kampus Sumedang),S1
613,PGPAUD Kampus Serang,S1
614,Pendidikan Guru Sekolah Dasar (Kampus Purwakarta),S1
615,Pendidikan Guru Sekolah Dasar (Kampus Tasikmalaya),S1
616,PGPAUD Kampus Tasikmalaya,S1
617,PGSD Kampus Serang,S1
618,PGPAUD Kampus Cibiru,S1
619,PGSD Kampus Cibiru,S1
620,Pendidikan Bahasa Sunda,S1
621,Manajemen Resort Dan Leisure,S1
622,Pendidikan Masyarakat,S1
623,Pendidikan Bahasa Korea,S1
